timestamp,event_type,msg_type,msg_id,msg/data_name,src_service,dst_service,src_node,dst_node,application
10.00000,SEND,STORE,1,temperature,,,s1,fog2,
10.00000,SEND,STORE,2,temperature,,,s1,fog1,
10.00000,SEND,APP,3,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
10.00032,RECV,STORE,1,temperature,,,s1,fog2,
10.00064,RECV,STORE,2,temperature,,,s1,fog1,
10.00096,RECV,APP,3,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
10.00096,PROC_START,,3,ReadTemp,FilterService,,fog3,fog3,MyApp
10.00706,PROC_END,,3,ReadTemp,FilterService,,fog3,fog3,MyApp
10.00706,SEND,APP,4,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
10.00706,RECV,APP,4,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
10.00707,SEND,CONS_REQ,5,temperature,,,cloud2,fog2,
10.00707,RECV,CONS_REQ,5,temperature,,,cloud2,fog2,
10.00707,SEND,CONS_RESP,6,temperature,,,fog2,cloud2,
10.00707,RECV,CONS_RESP,6,temperature,,,fog2,cloud2,
10.00707,PROC_START,,4,LogTemp,LoggerService,,cloud2,cloud2,MyApp
10.03759,PROC_END,,4,LogTemp,LoggerService,,cloud2,cloud2,MyApp
20.00000,SEND,STORE,7,temperature,,,s1,fog2,
20.00000,SEND,STORE,8,temperature,,,s1,fog1,
20.00000,SEND,APP,9,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
20.00032,RECV,STORE,7,temperature,,,s1,fog2,
20.00064,RECV,STORE,8,temperature,,,s1,fog1,
20.00096,RECV,APP,9,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
20.00096,PROC_START,,9,ReadTemp,FilterService,,fog3,fog3,MyApp
20.00706,PROC_END,,9,ReadTemp,FilterService,,fog3,fog3,MyApp
20.00706,SEND,APP,10,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
20.00706,RECV,APP,10,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
20.00707,SEND,CONS_REQ,11,temperature,,,cloud2,fog2,
20.00707,RECV,CONS_REQ,11,temperature,,,cloud2,fog2,
20.00707,SEND,CONS_RESP,12,temperature,,,fog2,cloud2,
20.00707,RECV,CONS_RESP,12,temperature,,,fog2,cloud2,
20.00707,PROC_START,,10,LogTemp,LoggerService,,cloud2,cloud2,MyApp
20.03759,PROC_END,,10,LogTemp,LoggerService,,cloud2,cloud2,MyApp
30.00000,SEND,STORE,13,temperature,,,s1,cloud1,
30.00000,SEND,APP,14,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
30.00032,RECV,STORE,13,temperature,,,s1,cloud1,
30.00064,RECV,APP,14,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
30.00064,PROC_START,,14,ReadTemp,FilterService,,fog3,fog3,MyApp
30.00674,PROC_END,,14,ReadTemp,FilterService,,fog3,fog3,MyApp
30.00674,SEND,APP,15,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
30.00674,RECV,APP,15,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
30.00675,SEND,CONS_REQ,16,temperature,,,cloud2,cloud1,
30.00675,RECV,CONS_REQ,16,temperature,,,cloud2,cloud1,
30.00675,SEND,CONS_RESP,17,temperature,,,cloud1,cloud2,
30.00675,RECV,CONS_RESP,17,temperature,,,cloud1,cloud2,
30.00675,PROC_START,,15,LogTemp,LoggerService,,cloud2,cloud2,MyApp
30.03727,PROC_END,,15,LogTemp,LoggerService,,cloud2,cloud2,MyApp
40.00000,SEND,STORE,18,temperature,,,s1,cloud1,
40.00000,SEND,APP,19,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
40.00032,RECV,STORE,18,temperature,,,s1,cloud1,
40.00064,RECV,APP,19,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
40.00064,PROC_START,,19,ReadTemp,FilterService,,fog3,fog3,MyApp
40.00674,PROC_END,,19,ReadTemp,FilterService,,fog3,fog3,MyApp
40.00674,SEND,APP,20,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
40.00674,RECV,APP,20,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
40.00675,SEND,CONS_REQ,21,temperature,,,cloud2,cloud1,
40.00675,RECV,CONS_REQ,21,temperature,,,cloud2,cloud1,
40.00675,SEND,CONS_RESP,22,temperature,,,cloud1,cloud2,
40.00675,RECV,CONS_RESP,22,temperature,,,cloud1,cloud2,
40.00675,PROC_START,,20,LogTemp,LoggerService,,cloud2,cloud2,MyApp
40.03727,PROC_END,,20,LogTemp,LoggerService,,cloud2,cloud2,MyApp
50.00000,SEND,STORE,23,temperature,,,s1,cloud1,
50.00000,SEND,APP,24,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
50.00032,RECV,STORE,23,temperature,,,s1,cloud1,
50.00064,RECV,APP,24,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
50.00064,PROC_START,,24,ReadTemp,FilterService,,fog3,fog3,MyApp
50.00674,PROC_END,,24,ReadTemp,FilterService,,fog3,fog3,MyApp
50.00674,SEND,APP,25,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
50.00674,RECV,APP,25,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
50.00675,SEND,CONS_REQ,26,temperature,,,cloud2,cloud1,
50.00675,RECV,CONS_REQ,26,temperature,,,cloud2,cloud1,
50.00675,SEND,CONS_RESP,27,temperature,,,cloud1,cloud2,
50.00675,RECV,CONS_RESP,27,temperature,,,cloud1,cloud2,
50.00675,PROC_START,,25,LogTemp,LoggerService,,cloud2,cloud2,MyApp
50.03727,PROC_END,,25,LogTemp,LoggerService,,cloud2,cloud2,MyApp
60.00000,SEND,STORE,28,temperature,,,s1,cloud1,
60.00000,SEND,APP,29,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
60.00032,RECV,STORE,28,temperature,,,s1,cloud1,
60.00064,RECV,APP,29,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
60.00064,PROC_START,,29,ReadTemp,FilterService,,fog3,fog3,MyApp
60.00674,PROC_END,,29,ReadTemp,FilterService,,fog3,fog3,MyApp
60.00674,SEND,APP,30,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
60.00674,RECV,APP,30,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
60.00675,SEND,CONS_REQ,31,temperature,,,cloud2,cloud1,
60.00675,RECV,CONS_REQ,31,temperature,,,cloud2,cloud1,
60.00675,SEND,CONS_RESP,32,temperature,,,cloud1,cloud2,
60.00675,RECV,CONS_RESP,32,temperature,,,cloud1,cloud2,
60.00675,PROC_START,,30,LogTemp,LoggerService,,cloud2,cloud2,MyApp
60.03727,PROC_END,,30,LogTemp,LoggerService,,cloud2,cloud2,MyApp
70.00000,SEND,STORE,33,temperature,,,s1,cloud1,
70.00000,SEND,APP,34,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
70.00032,RECV,STORE,33,temperature,,,s1,cloud1,
70.00064,RECV,APP,34,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
70.00064,PROC_START,,34,ReadTemp,FilterService,,fog3,fog3,MyApp
70.00674,PROC_END,,34,ReadTemp,FilterService,,fog3,fog3,MyApp
70.00674,SEND,APP,35,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
70.00674,RECV,APP,35,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
70.00675,SEND,CONS_REQ,36,temperature,,,cloud2,cloud1,
70.00675,RECV,CONS_REQ,36,temperature,,,cloud2,cloud1,
70.00675,SEND,CONS_RESP,37,temperature,,,cloud1,cloud2,
70.00675,RECV,CONS_RESP,37,temperature,,,cloud1,cloud2,
70.00675,PROC_START,,35,LogTemp,LoggerService,,cloud2,cloud2,MyApp
70.03727,PROC_END,,35,LogTemp,LoggerService,,cloud2,cloud2,MyApp
80.00000,SEND,STORE,38,temperature,,,s1,cloud1,
80.00000,SEND,APP,39,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
80.00032,RECV,STORE,38,temperature,,,s1,cloud1,
80.00064,RECV,APP,39,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
80.00064,PROC_START,,39,ReadTemp,FilterService,,fog3,fog3,MyApp
80.00674,PROC_END,,39,ReadTemp,FilterService,,fog3,fog3,MyApp
80.00674,SEND,APP,40,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
80.00674,RECV,APP,40,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
80.00675,SEND,CONS_REQ,41,temperature,,,cloud2,cloud1,
80.00675,RECV,CONS_REQ,41,temperature,,,cloud2,cloud1,
80.00675,SEND,CONS_RESP,42,temperature,,,cloud1,cloud2,
80.00675,RECV,CONS_RESP,42,temperature,,,cloud1,cloud2,
80.00675,PROC_START,,40,LogTemp,LoggerService,,cloud2,cloud2,MyApp
80.03727,PROC_END,,40,LogTemp,LoggerService,,cloud2,cloud2,MyApp
90.00000,SEND,STORE,43,temperature,,,s1,cloud1,
90.00000,SEND,APP,44,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
90.00032,RECV,STORE,43,temperature,,,s1,cloud1,
90.00064,RECV,APP,44,ReadTemp,TempSensor,FilterService,s1,fog3,MyApp
90.00064,PROC_START,,44,ReadTemp,FilterService,,fog3,fog3,MyApp
90.00674,PROC_END,,44,ReadTemp,FilterService,,fog3,fog3,MyApp
90.00674,SEND,APP,45,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
90.00674,RECV,APP,45,LogTemp,FilterService,LoggerService,fog3,cloud2,MyApp
90.00675,SEND,CONS_REQ,46,temperature,,,cloud2,cloud1,
90.00675,RECV,CONS_REQ,46,temperature,,,cloud2,cloud1,
90.00675,SEND,CONS_RESP,47,temperature,,,cloud1,cloud2,
90.00675,RECV,CONS_RESP,47,temperature,,,cloud1,cloud2,
90.00675,PROC_START,,45,LogTemp,LoggerService,,cloud2,cloud2,MyApp
90.03727,PROC_END,,45,LogTemp,LoggerService,,cloud2,cloud2,MyApp
